"feature" "class" "assembly" "assembly_unit" "seq_type" "chromosome" "genomic_accession" "start" "end" "strand" "product_accession" "non.redundant_refseq" "related_accession" "name" "symbol" "GeneID" "locus_tag" "feature_interval_length" "product_length" "attributes"
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 21407 22348 "+" "WP_000767329.1" "WP_000767329.1" NA "bifunctional riboflavin kinase/FMN adenylyltransferase" "" NA "P370_RS0100110" 942 313 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 22391 25207 "+" "WP_001286857.1" "WP_001286857.1" NA "isoleucine--tRNA ligase" "" NA "P370_RS0100115" 2817 938 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 25207 25701 "+" "WP_000083372.1" "WP_000083372.1" NA "lipoprotein signal peptidase" "" NA "P370_RS0100120" 495 164 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 25826 26275 "+" "WP_000004655.1" "WP_000004655.1" NA "peptidyl-prolyl cis-trans isomerase" "" NA "P370_RS0100125" 450 149 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 26277 27227 "+" "WP_001166395.1" "WP_001166395.1" NA "4-hydroxy-3-methylbut-2-enyl diphosphate reductase" "" NA "P370_RS0100130" 951 316 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 27293 28207 "+" "WP_001239142.1" "WP_001239142.1" NA "non-specific ribonucleoside hydrolase RihC" "" NA "P370_RS0100135" 915 304 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 28374 29195 "+" "WP_000543604.1" "WP_000543604.1" NA "4-hydroxy-tetrahydrodipicolinate reductase" "" NA "P370_RS0100140" 822 273 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 29651 30799 "+" "WP_000597260.1" "WP_000597260.1" NA "carbamoyl-phosphate synthase small subunit" "" NA "P370_RS0100150" 1149 382 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 30817 34038 "+" "WP_001126348.1" "WP_001126348.1" NA "carbamoyl-phosphate synthase large chain" "carB" NA "P370_RS0100155" 3222 1073 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 34086 34265 "-" "WP_000196533.1" "WP_000196533.1" NA "hypothetical protein" "" NA "P370_RS01000000122280" 180 59 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 34300 34695 "+" "WP_000333125.1" "WP_000333125.1" NA "transcriptional activatory protein CaiF" "" NA "P370_RS0100160" 396 131 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 34781 35371 "-" "WP_000122871.1" "WP_000122871.1" NA "carnitine operon protein CaiE" "" NA "P370_RS0100165" 591 196 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 35377 36162 "-" "WP_001295419.1" "WP_001295419.1" NA "carnitinyl-CoA dehydratase" "" NA "P370_RS0100170" 786 261 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 36271 37824 "-" "WP_001350478.1" "WP_001350478.1" NA "ATP-dependent acyl-CoA ligase" "" NA "P370_RS0100175" 1554 517 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 37898 39115 "-" "WP_000349936.1" "WP_000349936.1" NA "L-carnitine CoA-transferase" "" NA "P370_RS0100180" 1218 405 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 39244 40386 "-" "WP_000347117.1" "WP_000347117.1" NA "crotonobetainyl-CoA dehydrogenase" "" NA "P370_RS0100185" 1143 380 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 40417 41931 "-" "WP_000787103.1" "WP_000787103.1" NA "L-carnitine/gamma-butyrobetaine antiporter" "" NA "P370_RS0100190" 1515 504 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 42403 43173 "+" "WP_000692204.1" "WP_000692204.1" NA "protein FixA" "" NA "P370_RS0100195" 771 256 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 43188 44129 "+" "WP_001091499.1" "WP_001091499.1" NA "protein FixB" "" NA "P370_RS0100200" 942 313 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 44180 45466 "+" "WP_001287715.1" "WP_001287715.1" NA "FAD-dependent oxidoreductase" "" NA "P370_RS0100205" 1287 428 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 45463 45750 "+" "WP_000203741.1" "WP_000203741.1" NA "ferredoxin-like protein FixX" "" NA "P370_RS0100210" 288 95 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 45807 47138 "+" "WP_001183198.1" "WP_001183198.1" NA "MFS transporter" "" NA "P370_RS0100215" 1332 443 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 47246 47776 "+" "WP_000600725.1" "WP_000600725.1" NA "glutathione-regulated potassium-efflux system ancillary protein KefF" "" NA "P370_RS0100220" 531 176 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 47769 49631 "+" "WP_000377098.1" "WP_000377098.1" NA "glutathione-regulated potassium-efflux system protein KefC" "" NA "P370_RS0100225" 1863 620 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 49823 50302 "+" "WP_000624375.1" "WP_000624375.1" NA "dihydrofolate reductase" "folA" NA "P370_RS0100230" 480 159 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 50380 51222 "-" "WP_000257192.1" "WP_000257192.1" NA "diadenosine tetraphosphatase" "" NA "P370_RS0100235" 843 280 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 51229 51606 "-" "WP_000610901.1" "WP_000610901.1" NA "Co2+/Mg2+ efflux protein ApaG" "" NA "P370_RS0100240" 378 125 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 51609 52430 "-" "WP_001065381.1" "WP_001065381.1" NA "ribosomal RNA small subunit methyltransferase A" "ksgA" NA "P370_RS0100245" 822 273 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 52427 53416 "-" "WP_000241277.1" "WP_000241277.1" NA "4-hydroxythreonine-4-phosphate dehydrogenase" "" NA "P370_RS0100250" 990 329 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 53416 54702 "-" "WP_000800457.1" "WP_000800457.1" NA "chaperone SurA" "" NA "P370_RS0100255" 1287 428 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 54755 57109 "-" "WP_000746151.1" "WP_000746151.1" NA "LPS-assembly protein LptD" "" NA "P370_RS0100260" 2355 784 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 57364 58179 "+" "WP_001200579.1" "WP_001200579.1" NA "molecular chaperone DjlA" "" NA "P370_RS0100265" 816 271 ""
"CDS" "without_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 58474 59147 "+" "" "" NA "UDP pyrophosphate phosphatase" "" NA "P370_RS01000000122285" 674 NA "partial;pseudo"
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 59687 60346 "-" "WP_000525176.1" "WP_000525176.1" NA "bifunctional tRNA pseudouridine(32) synthase/ribosomal large subunit pseudouridine synthase RluA" "" NA "P370_RS0100275" 660 219 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 60358 63264 "-" "WP_001117011.1" "WP_001117011.1" NA "RNA polymerase-associated protein RapA" "" NA "P370_RS0100280" 2907 968 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 63429 65780 "-" "WP_000035670.1" "WP_000035670.1" NA "DNA polymerase II" "" NA "P370_RS0100285" 2352 783 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 65855 66550 "-" "WP_000888666.1" "WP_000888666.1" NA "L-ribulose-5-phosphate 4-epimerase" "" NA "P370_RS0100290" 696 231 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 66835 68337 "-" "WP_000151748.1" "WP_000151748.1" NA "L-arabinose isomerase" "" NA "P370_RS0100295" 1503 500 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 68348 70048 "-" "WP_000951856.1" "WP_000951856.1" NA "ribulokinase" "" NA "P370_RS0100300" 1701 566 ""
"CDS" "without_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 70200 70394 "+" "" "" NA "hypothetical protein" "" NA "P370_RS1000000124140" 195 NA "pseudo"
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 70387 71265 "+" "WP_001300811.1" "WP_001300811.1" NA "arabinose operon regulatory protein" "" NA "P370_RS0100305" 879 292 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 71351 72115 "+" "WP_001148390.1" "WP_001148390.1" NA "DedA family protein" "" NA "P370_RS0100310" 765 254 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 72229 72927 "-" "WP_000916281.1" "WP_000916281.1" NA "thiamine import ATP-binding protein ThiQ" "" NA "P370_RS0100315" 699 232 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 72911 74521 "-" "WP_000235721.1" "WP_000235721.1" NA "thiamine ABC transporter permease" "thiP" NA "P370_RS0100320" 1611 536 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 74497 75480 "-" "WP_001301364.1" "WP_001301364.1" NA "thiamine-binding periplasmic protein" "" NA "P370_RS0100325" 984 327 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 75644 77299 "-" "WP_001138624.1" "WP_001138624.1" NA "transcriptional regulator" "" NA "P370_RS0100330" 1656 551 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 77388 77519 "+" "WP_001248770.1" "WP_001248770.1" NA "glucose uptake inhibitor SgrT" "" NA "P370_RS0100335" 132 43 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 77621 78799 "+" "WP_000637847.1" "WP_000637847.1" NA "sugar efflux transporter SetB" "" NA "P370_RS0100340" 1179 392 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 78848 79453 "-" "WP_000818228.1" "WP_000818228.1" NA "3-isopropylmalate dehydratase small subunit" "" NA "P370_RS0100345" 606 201 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 79464 80864 "-" "WP_001140652.1" "WP_001140652.1" NA "3-isopropylmalate dehydratase large subunit" "" NA "P370_RS0100350" 1401 466 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 80867 81958 "-" "WP_000042353.1" "WP_000042353.1" NA "3-isopropylmalate dehydrogenase" "" NA "P370_RS0100355" 1092 363 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 81958 83529 "-" "WP_000082850.1" "WP_000082850.1" NA "2-isopropylmalate synthase" "" NA "P370_RS0100360" 1572 523 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 83622 83708 "-" "WP_001300467.1" "WP_001300467.1" NA "leu operon leader peptide" "" NA "P370_RS01000000122290" 87 28 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 84368 85312 "+" "WP_001115472.1" "WP_001115472.1" NA "transcriptional regulator" "" NA "P370_RS0100365" 945 314 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 85630 87354 "+" "WP_001295534.1" "WP_001295534.1" NA "acetolactate synthase isozyme 3 large subunit" "" NA "P370_RS0100370" 1725 574 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 87357 87848 "+" "WP_001300383.1" "WP_001300383.1" NA "acetolactate synthase small subunit" "" NA "P370_RS0100375" 492 163 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 87851 87946 "+" "WP_011478100.1" "WP_011478100.1" NA "hypothetical protein" "" NA "P370_RS01000000122295" 96 31 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 88028 89032 "+" "WP_000762401.1" "WP_000762401.1" NA "catabolite repressor/activator" "" NA "P370_RS0100380" 1005 334 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 89453 89635 "-" "WP_001308350.1" "WP_001308350.1" NA "hypothetical protein" "" NA "P370_RS1000000124145" 183 60 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 89634 90092 "+" "WP_001295533.1" "WP_001295533.1" NA "division/cell wall cluster transcriptional repressor MraZ" "" NA "P370_RS0100385" 459 152 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 90094 91035 "+" "WP_000970479.1" "WP_000970479.1" NA "ribosomal RNA small subunit methyltransferase H" "" NA "P370_RS0100390" 942 313 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 91032 91397 "+" "WP_000625658.1" "WP_000625658.1" NA "cell division protein FtsL" "" NA "P370_RS0100395" 366 121 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 91413 93179 "+" "WP_000642196.1" "WP_000642196.1" NA "peptidoglycan synthase FtsI" "" NA "P370_RS0100400" 1767 588 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 93166 94653 "+" "WP_000775093.1" "WP_000775093.1" NA "UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase" "" NA "P370_RS0100405" 1488 495 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 94650 96008 "+" "WP_000626685.1" "WP_000626685.1" NA "UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase" "" NA "P370_RS0100410" 1359 452 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 96002 97084 "+" "WP_000964131.1" "WP_000964131.1" NA "phospho-N-acetylmuramoyl-pentapeptide-transferase" "" NA "P370_RS0100415" 1083 360 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 97087 98403 "+" "WP_000796481.1" "WP_000796481.1" NA "UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase" "" NA "P370_RS0100420" 1317 438 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 98403 99647 "+" "WP_001295532.1" "WP_001295532.1" NA "lipid II flippase FtsW" "" NA "P370_RS0100425" 1245 414 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 99644 100711 "+" "WP_000016560.1" "WP_000016560.1" NA "undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase" "" NA "P370_RS0100430" 1068 355 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 100765 102240 "+" "WP_001096049.1" "WP_001096049.1" NA "UDP-N-acetylmuramate--L-alanine ligase" "" NA "P370_RS0100435" 1476 491 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 102233 103153 "+" "WP_000130056.1" "WP_000130056.1" NA "D-alanine--D-alanine ligase B" "ddl" NA "P370_RS0100440" 921 306 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 103155 103985 "+" "WP_000075748.1" "WP_000075748.1" NA "cell division protein FtsQ" "" NA "P370_RS0100445" 831 276 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 103982 105244 "+" "WP_000588474.1" "WP_000588474.1" NA "cell division protein FtsA" "" NA "P370_RS0100450" 1263 420 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 105305 106456 "+" "WP_000462776.1" "WP_000462776.1" NA "cell division protein FtsZ" "" NA "P370_RS0100455" 1152 383 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 106557 107474 "+" "WP_000595482.1" "WP_000595482.1" NA "UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase" "" NA "P370_RS0100460" 918 305 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 107705 108217 "+" "WP_000014321.1" "WP_000014321.1" NA "SecA regulator SecM" "" NA "P370_RS0100465" 513 170 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 108279 110984 "+" "WP_000905789.1" "WP_000905789.1" NA "protein translocase subunit SecA" "" NA "P370_RS0100470" 2706 901 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 111044 111433 "+" "WP_000736007.1" "WP_000736007.1" NA "8-oxo-dGTP diphosphatase MutT" "" NA "P370_RS0100475" 390 129 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 111649 111846 "-" "WP_000005042.1" "WP_000005042.1" NA "DNA gyrase inhibitor YacG" "" NA "P370_RS0100480" 198 65 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 111856 112599 "-" "WP_001194734.1" "WP_001194734.1" NA "cell division protein ZapD" "" NA "P370_RS0100485" 744 247 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 112599 113219 "-" "WP_001269520.1" "WP_001269520.1" NA "dephospho-CoA kinase" "" NA "P370_RS0100490" 621 206 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 113444 114487 "+" "WP_001217338.1" "WP_001217338.1" NA "guanosine monophosphate reductase" "" NA "P370_RS0100495" 1044 347 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 114522 115724 "-" "WP_000157266.1" "WP_000157266.1" NA "protein transport protein HofC" "" NA "P370_RS0100500" 1203 400 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 115714 117099 "-" "WP_001025145.1" "WP_001025145.1" NA "protein transport protein HofB" "" NA "P370_RS0100505" 1386 461 ""
